year,frequent_word,site,count_of_frequent_word,url
2023,violência,publico,0,"https://arquivo.pt/textsearch?q=violência&prettyPrint=false&from=20230101&to=20231231&siteSearch=www.publico.pt,publico.pt"
2019,condena ,publico,3464,"https://arquivo.pt/textsearch?q=condena &prettyPrint=false&from=20190101&to=20191231&siteSearch=www.publico.pt,publico.pt"
2020,condena ,publico,4768,"https://arquivo.pt/textsearch?q=condena &prettyPrint=false&from=20200101&to=20201231&siteSearch=www.publico.pt,publico.pt"
2021,condena ,publico,0,"https://arquivo.pt/textsearch?q=condena &prettyPrint=false&from=20210101&to=20211231&siteSearch=www.publico.pt,publico.pt"
2022,condena ,publico,0,"https://arquivo.pt/textsearch?q=condena &prettyPrint=false&from=20220101&to=20221231&siteSearch=www.publico.pt,publico.pt"
2023,condena ,publico,0,"https://arquivo.pt/textsearch?q=condena &prettyPrint=false&from=20230101&to=20231231&siteSearch=www.publico.pt,publico.pt"
2019,Ucrânia,publico,6138,"https://arquivo.pt/textsearch?q=Ucrânia&prettyPrint=false&from=20190101&to=20191231&siteSearch=www.publico.pt,publico.pt"
2020,Ucrânia,publico,11077,"https://arquivo.pt/textsearch?q=Ucrânia&prettyPrint=false&from=20200101&to=20201231&siteSearch=www.publico.pt,publico.pt"
2021,Ucrânia,publico,0,"https://arquivo.pt/textsearch?q=Ucrânia&prettyPrint=false&from=20210101&to=20211231&siteSearch=www.publico.pt,publico.pt"
2022,Ucrânia,publico,0,"https://arquivo.pt/textsearch?q=Ucrânia&prettyPrint=false&from=20220101&to=20221231&siteSearch=www.publico.pt,publico.pt"
2023,Ucrânia,publico,0,"https://arquivo.pt/textsearch?q=Ucrânia&prettyPrint=false&from=20230101&to=20231231&siteSearch=www.publico.pt,publico.pt"
2019,crise,publico,33451,"https://arquivo.pt/textsearch?q=crise&prettyPrint=false&from=20190101&to=20191231&siteSearch=www.publico.pt,publico.pt"
2020,crise,publico,47819,"https://arquivo.pt/textsearch?q=crise&prettyPrint=false&from=20200101&to=20201231&siteSearch=www.publico.pt,publico.pt"
2021,crise,publico,0,"https://arquivo.pt/textsearch?q=crise&prettyPrint=false&from=20210101&to=20211231&siteSearch=www.publico.pt,publico.pt"
2022,crise,publico,0,"https://arquivo.pt/textsearch?q=crise&prettyPrint=false&from=20220101&to=20221231&siteSearch=www.publico.pt,publico.pt"
2023,crise,publico,0,"https://arquivo.pt/textsearch?q=crise&prettyPrint=false&from=20230101&to=20231231&siteSearch=www.publico.pt,publico.pt"
2019,guerra,publico,32910,"https://arquivo.pt/textsearch?q=guerra&prettyPrint=false&from=20190101&to=20191231&siteSearch=www.publico.pt,publico.pt"
2020,guerra,publico,43697,"https://arquivo.pt/textsearch?q=guerra&prettyPrint=false&from=20200101&to=20201231&siteSearch=www.publico.pt,publico.pt"
2021,guerra,publico,0,"https://arquivo.pt/textsearch?q=guerra&prettyPrint=false&from=20210101&to=20211231&siteSearch=www.publico.pt,publico.pt"
2022,guerra,publico,0,"https://arquivo.pt/textsearch?q=guerra&prettyPrint=false&from=20220101&to=20221231&siteSearch=www.publico.pt,publico.pt"
2023,guerra,publico,0,"https://arquivo.pt/textsearch?q=guerra&prettyPrint=false&from=20230101&to=20231231&siteSearch=www.publico.pt,publico.pt"
2019,Sudão do Sul,publico,626,"https://arquivo.pt/textsearch?q=Sudão do Sul&prettyPrint=false&from=20190101&to=20191231&siteSearch=www.publico.pt,publico.pt"
2020,Sudão do Sul,publico,1370,"https://arquivo.pt/textsearch?q=Sudão do Sul&prettyPrint=false&from=20200101&to=20201231&siteSearch=www.publico.pt,publico.pt"
2021,Sudão do Sul,publico,0,"https://arquivo.pt/textsearch?q=Sudão do Sul&prettyPrint=false&from=20210101&to=20211231&siteSearch=www.publico.pt,publico.pt"
2022,Sudão do Sul,publico,0,"https://arquivo.pt/textsearch?q=Sudão do Sul&prettyPrint=false&from=20220101&to=20221231&siteSearch=www.publico.pt,publico.pt"
2023,Sudão do Sul,publico,0,"https://arquivo.pt/textsearch?q=Sudão do Sul&prettyPrint=false&from=20230101&to=20231231&siteSearch=www.publico.pt,publico.pt"
2019,conselho de segurança,jn,16039,"https://arquivo.pt/textsearch?q=conselho de segurança&prettyPrint=false&from=20190101&to=20191231&siteSearch=www.jn.pt,jn.pt"
2020,conselho de segurança,jn,12692,"https://arquivo.pt/textsearch?q=conselho de segurança&prettyPrint=false&from=20200101&to=20201231&siteSearch=www.jn.pt,jn.pt"
2021,conselho de segurança,jn,0,"https://arquivo.pt/textsearch?q=conselho de segurança&prettyPrint=false&from=20210101&to=20211231&siteSearch=www.jn.pt,jn.pt"
2022,conselho de segurança,jn,0,"https://arquivo.pt/textsearch?q=conselho de segurança&prettyPrint=false&from=20220101&to=20221231&siteSearch=www.jn.pt,jn.pt"
2023,conselho de segurança,jn,0,"https://arquivo.pt/textsearch?q=conselho de segurança&prettyPrint=false&from=20230101&to=20231231&siteSearch=www.jn.pt,jn.pt"
2019,república democrática do congo,jn,846,"https://arquivo.pt/textsearch?q=república democrática do congo&prettyPrint=false&from=20190101&to=20191231&siteSearch=www.jn.pt,jn.pt"
2020,república democrática do congo,jn,480,"https://arquivo.pt/textsearch?q=república democrática do congo&prettyPrint=false&from=20200101&to=20201231&siteSearch=www.jn.pt,jn.pt"
2021,república democrática do congo,jn,0,"https://arquivo.pt/textsearch?q=república democrática do congo&prettyPrint=false&from=20210101&to=20211231&siteSearch=www.jn.pt,jn.pt"
2022,república democrática do congo,jn,0,"https://arquivo.pt/textsearch?q=república democrática do congo&prettyPrint=false&from=20220101&to=20221231&siteSearch=www.jn.pt,jn.pt"
2023,república democrática do congo,jn,0,"https://arquivo.pt/textsearch?q=república democrática do congo&prettyPrint=false&from=20230101&to=20231231&siteSearch=www.jn.pt,jn.pt"
